nu_cm1,R_obs,R_model_best,weight
2000.30200000,0.17078844,0.17788657,1.00000000
2000.78400000,0.17083881,0.17788837,1.00000000
2001.26600000,0.17086566,0.17789017,1.00000000
2001.74900000,0.17102099,0.17789198,1.00000000
2002.23000000,0.17113940,0.17789378,1.00000000
2002.71300000,0.17130780,0.17789559,1.00000000
2003.19500000,0.17138959,0.17789740,1.00000000
2003.67700000,0.17130138,0.17789921,1.00000000
2004.15900000,0.17132203,0.17790102,1.00000000
2004.64100000,0.17146686,0.17790283,1.00000000
2005.12300000,0.17180677,0.17790465,1.00000000
2005.60500000,0.17177337,0.17790646,1.00000000
2006.08700000,0.17180600,0.17790828,1.00000000
2006.57000000,0.17194348,0.17791010,1.00000000
2007.05200000,0.17190488,0.17791192,1.00000000
2007.53400000,0.17210737,0.17791375,1.00000000
2008.01600000,0.17216374,0.17791557,1.00000000
2008.49800000,0.17222373,0.17791740,1.00000000
2008.98000000,0.17237330,0.17791922,1.00000000
2009.46200000,0.17221895,0.17792105,1.00000000
2009.94400000,0.17267254,0.17792288,1.00000000
2010.42700000,0.17262805,0.17792472,1.00000000
2010.90900000,0.17283720,0.17792655,1.00000000
2011.39100000,0.17275046,0.17792839,1.00000000
2011.87300000,0.17299645,0.17793023,1.00000000
2012.35500000,0.17292204,0.17793207,1.00000000
2012.83700000,0.17288022,0.17793391,1.00000000
2013.31900000,0.17316967,0.17793575,1.00000000
2013.80100000,0.17330600,0.17793759,1.00000000
2014.28300000,0.17339932,0.17793944,1.00000000
2014.76600000,0.17343248,0.17794129,1.00000000
2015.24800000,0.17365829,0.17794314,1.00000000
2015.73000000,0.17374740,0.17794499,1.00000000
2016.21200000,0.17379529,0.17794684,1.00000000
2016.69400000,0.17385406,0.17794869,1.00000000
2017.17600000,0.17410405,0.17795055,1.00000000
2017.65800000,0.17411376,0.17795240,1.00000000
2018.14000000,0.17419294,0.17795426,1.00000000
2018.62300000,0.17458797,0.17795612,1.00000000
2019.10500000,0.17445740,0.17795799,1.00000000
2019.58700000,0.17453516,0.17795985,1.00000000
2020.06900000,0.17449752,0.17796171,1.00000000
2020.55100000,0.17478042,0.17796358,1.00000000
2021.03300000,0.17484947,0.17796545,1.00000000
2021.51500000,0.17505978,0.17796732,1.00000000
2021.99700000,0.17505137,0.17796919,1.00000000
2022.47900000,0.17526642,0.17797106,1.00000000
2022.96200000,0.17530767,0.17797294,1.00000000
2023.44400000,0.17534955,0.17797481,1.00000000
2023.92600000,0.17561916,0.17797669,1.00000000
2024.40800000,0.17567071,0.17797857,1.00000000
2024.89000000,0.17589495,0.17798045,1.00000000
2025.37200000,0.17596374,0.17798233,1.00000000
2025.85400000,0.17605285,0.17798421,1.00000000
2026.33600000,0.17612194,0.17798610,1.00000000
2026.81900000,0.17624073,0.17798799,1.00000000
2027.30100000,0.17643713,0.17798988,1.00000000
2027.78300000,0.17644930,0.17799177,1.00000000
2028.26500000,0.17641802,0.17799366,1.00000000
2028.74700000,0.17671204,0.17799555,1.00000000
2029.22900000,0.17662389,0.17799744,1.00000000
2029.71100000,0.17674439,0.17799934,1.00000000
2030.19300000,0.17703410,0.17800124,1.00000000
2030.67600000,0.17710077,0.17800314,1.00000000
2031.15700000,0.17703183,0.17800504,1.00000000
2031.64000000,0.17721493,0.17800694,1.00000000
2032.12200000,0.17725147,0.17800885,1.00000000
2032.60400000,0.17744327,0.17801075,1.00000000
2033.08600000,0.17749320,0.17801266,1.00000000
2033.56800000,0.17780238,0.17801457,1.00000000
2034.05000000,0.17784852,0.17801648,1.00000000
2034.53200000,0.17794589,0.17801839,1.00000000
2035.01400000,0.17809767,0.17802030,1.00000000
2035.49700000,0.17845135,0.17802222,1.00000000
2035.97900000,0.17835073,0.17802414,1.00000000
2036.46100000,0.17833200,0.17802606,1.00000000
2036.94300000,0.17871091,0.17802797,1.00000000
2037.42500000,0.17847766,0.17802990,1.00000000
2037.90700000,0.17873709,0.17803182,1.00000000
2038.38900000,0.17910429,0.17803374,1.00000000
2038.87100000,0.17896248,0.17803567,1.00000000
2039.35400000,0.17907967,0.17803760,1.00000000
2039.83600000,0.17939662,0.17803953,1.00000000
2040.31800000,0.17943912,0.17804146,1.00000000
2040.80000000,0.17956702,0.17804339,1.00000000
2041.28200000,0.17971071,0.17804532,1.00000000
2041.76400000,0.17985502,0.17804726,1.00000000
2042.24600000,0.17989938,0.17804919,1.00000000
2042.72800000,0.18022257,0.17805113,1.00000000
2043.21000000,0.18011877,0.17805307,1.00000000
2043.69300000,0.18038558,0.17805501,1.00000000
2044.17500000,0.18049824,0.17805696,1.00000000
2044.65700000,0.18061772,0.17805890,1.00000000
2045.13900000,0.18057650,0.17806085,1.00000000
2045.62100000,0.18078937,0.17806279,1.00000000
2046.10300000,0.18070683,0.17806474,1.00000000
2046.58500000,0.18094644,0.17806669,1.00000000
2047.06700000,0.18104016,0.17806864,1.00000000
2047.55000000,0.18115471,0.17807060,1.00000000
2048.03200000,0.18129529,0.17807256,1.00000000
2048.51400000,0.18138838,0.17807451,1.00000000
2048.99600000,0.18167712,0.17807647,1.00000000
2049.47800000,0.18170552,0.17807843,1.00000000
2049.96000000,0.18170892,0.17808039,1.00000000
2050.44200000,0.18172604,0.17808235,1.00000000
2050.92400000,0.18203765,0.17808432,1.00000000
2051.40600000,0.18208759,0.17808628,1.00000000
2051.88900000,0.18219887,0.17808825,1.00000000
2052.37100000,0.18230558,0.17809022,1.00000000
2052.85300000,0.18242154,0.17809219,1.00000000
2053.33500000,0.18267537,0.17809416,1.00000000
2053.81700000,0.18273963,0.17809613,1.00000000
2054.29900000,0.18287346,0.17809811,1.00000000
2054.78100000,0.18275853,0.17810008,1.00000000
2055.26300000,0.18301081,0.17810206,1.00000000
2055.74600000,0.18315563,0.17810405,1.00000000
2056.22800000,0.18321717,0.17810603,1.00000000
2056.71000000,0.18319994,0.17810801,1.00000000
2057.19200000,0.18347124,0.17810999,1.00000000
2057.67400000,0.18331209,0.17811198,1.00000000
2058.15600000,0.18346246,0.17811396,1.00000000
2058.63800000,0.18351495,0.17811595,1.00000000
2059.12000000,0.18365428,0.17811794,1.00000000
2059.60300000,0.18391521,0.17811994,1.00000000
2060.08400000,0.18368654,0.17812192,1.00000000
2060.56700000,0.18387991,0.17812392,1.00000000
2061.04900000,0.18392415,0.17812592,1.00000000
2061.53100000,0.18400740,0.17812791,1.00000000
2062.01300000,0.18435290,0.17812991,1.00000000
2062.49500000,0.18416791,0.17813191,1.00000000
2062.97700000,0.18426798,0.17813391,1.00000000
2063.45900000,0.18451311,0.17813592,1.00000000
2063.94100000,0.18451022,0.17813792,1.00000000
2064.42400000,0.18445189,0.17813993,1.00000000
2064.90600000,0.18470984,0.17814194,1.00000000
2065.38800000,0.18489481,0.17814395,1.00000000
2065.87000000,0.18475340,0.17814596,1.00000000
2066.35200000,0.18497797,0.17814797,1.00000000
2066.83400000,0.18501968,0.17814998,1.00000000
2067.31600000,0.18518952,0.17815200,1.00000000
2067.79800000,0.18508157,0.17815401,1.00000000
2068.28100000,0.18525919,0.17815604,1.00000000
2068.76300000,0.18529211,0.17815806,1.00000000
2069.24500000,0.18494213,0.17816008,1.00000000
2069.72700000,0.18544712,0.17816210,1.00000000
2070.20900000,0.18534784,0.17816412,1.00000000
2070.69100000,0.18546854,0.17816615,1.00000000
2071.17300000,0.18543005,0.17816817,1.00000000
2071.65500000,0.18554535,0.17817020,1.00000000
2072.13700000,0.18573151,0.17817223,1.00000000
2072.62000000,0.18556581,0.17817427,1.00000000
2073.10200000,0.18558690,0.17817630,1.00000000
2073.58400000,0.18563062,0.17817833,1.00000000
2074.06600000,0.18588612,0.17818037,1.00000000
2074.54800000,0.18577861,0.17818241,1.00000000
2075.03000000,0.18594495,0.17818445,1.00000000
2075.51200000,0.18595716,0.17818649,1.00000000
2075.99400000,0.18610683,0.17818853,1.00000000
2076.47700000,0.18607146,0.17819057,1.00000000
2076.95900000,0.18625714,0.17819262,1.00000000
2077.44100000,0.18622567,0.17819466,1.00000000
2077.92300000,0.18618127,0.17819671,1.00000000
2078.40500000,0.18633318,0.17819876,1.00000000
2078.88700000,0.18642560,0.17820081,1.00000000
2079.36900000,0.18658528,0.17820286,1.00000000
2079.85100000,0.18633060,0.17820492,1.00000000
2080.33300000,0.18664773,0.17820697,1.00000000
2080.81600000,0.18652743,0.17820903,1.00000000
2081.29800000,0.18673131,0.17821109,1.00000000
2081.78000000,0.18679516,0.17821315,1.00000000
2082.26200000,0.18669482,0.17821521,1.00000000
2082.74400000,0.18700326,0.17821727,1.00000000
2083.22600000,0.18690756,0.17821933,1.00000000
2083.70800000,0.18690618,0.17822140,1.00000000
2084.19000000,0.18691058,0.17822346,1.00000000
2084.67300000,0.18689040,0.17822553,1.00000000
2085.15500000,0.18694328,0.17822760,1.00000000
2085.63700000,0.18696652,0.17822967,1.00000000
2086.11900000,0.18688414,0.17823175,1.00000000
2086.60100000,0.18703093,0.17823382,1.00000000
2087.08300000,0.18730620,0.17823589,1.00000000
2087.56500000,0.18689879,0.17823797,1.00000000
2088.04700000,0.18730272,0.17824005,1.00000000
2088.53000000,0.18722633,0.17824213,1.00000000
2089.01100000,0.18713799,0.17824421,1.00000000
2089.49400000,0.18728242,0.17824630,1.00000000
2089.97600000,0.18752422,0.17824838,1.00000000
2090.45800000,0.18713482,0.17825046,1.00000000
2090.94000000,0.18712347,0.17825255,1.00000000
2091.42200000,0.18734080,0.17825464,1.00000000
2091.90400000,0.18735052,0.17825673,1.00000000
2092.38600000,0.18733856,0.17825882,1.00000000
2092.86800000,0.18711405,0.17826091,1.00000000
2093.35100000,0.18747621,0.17826301,1.00000000
2093.83300000,0.18724135,0.17826510,1.00000000
2094.31500000,0.18716423,0.17826720,1.00000000
2094.79700000,0.18732188,0.17826930,1.00000000
2095.27900000,0.18739678,0.17827140,1.00000000
2095.76100000,0.18712279,0.17827350,1.00000000
2096.24300000,0.18718373,0.17827560,1.00000000
2096.72500000,0.18734691,0.17827770,1.00000000
2097.20800000,0.18732611,0.17827981,1.00000000
2097.69000000,0.18739369,0.17828192,1.00000000
2098.17200000,0.18747506,0.17828403,1.00000000
2098.65400000,0.18740469,0.17828614,1.00000000
2099.13600000,0.18735870,0.17828825,1.00000000
2099.61800000,0.18734873,0.17829036,1.00000000
2100.10000000,0.18735734,0.17829247,1.00000000
2100.58200000,0.18717342,0.17829459,1.00000000
2101.06400000,0.18721888,0.17829670,1.00000000
2101.54700000,0.18747923,0.17829883,1.00000000
2102.02900000,0.18746902,0.17830094,1.00000000
2102.51100000,0.18724607,0.17830307,1.00000000
2102.99300000,0.18725567,0.17830519,1.00000000
2103.47500000,0.18743228,0.17830731,1.00000000
2103.95700000,0.18734262,0.17830944,1.00000000
2104.43900000,0.18741812,0.17831156,1.00000000
2104.92100000,0.18730964,0.17831369,1.00000000
2105.40400000,0.18721533,0.17831582,1.00000000
2105.88600000,0.18744398,0.17831795,1.00000000
2106.36800000,0.18722543,0.17832009,1.00000000
2106.85000000,0.18707375,0.17832222,1.00000000
2107.33200000,0.18710326,0.17832435,1.00000000
2107.81400000,0.18719971,0.17832649,1.00000000
2108.29600000,0.18712296,0.17832863,1.00000000
2108.77800000,0.18705714,0.17833077,1.00000000
2109.26000000,0.18688483,0.17833291,1.00000000
2109.74300000,0.18692517,0.17833505,1.00000000
2110.22500000,0.18692344,0.17833720,1.00000000
2110.70700000,0.18693046,0.17833934,1.00000000
2111.18900000,0.18671585,0.17834149,1.00000000
2111.67100000,0.18693024,0.17834363,1.00000000
2112.15300000,0.18682453,0.17834578,1.00000000
2112.63500000,0.18689995,0.17834793,1.00000000
2113.11700000,0.18692352,0.17835008,1.00000000
2113.60000000,0.18703032,0.17835224,1.00000000
2114.08200000,0.18696685,0.17835440,1.00000000
2114.56400000,0.18688338,0.17835655,1.00000000
2115.04600000,0.18707050,0.17835871,1.00000000
2115.52800000,0.18666802,0.17836087,1.00000000
2116.01000000,0.18699997,0.17836303,1.00000000
2116.49200000,0.18657824,0.17836519,1.00000000
2116.97400000,0.18670309,0.17836735,1.00000000
2117.45700000,0.18676504,0.17836952,1.00000000
2117.93800000,0.18646573,0.17837168,1.00000000
2118.42100000,0.18647080,0.17837385,1.00000000
2118.90300000,0.18643808,0.17837602,1.00000000
2119.38500000,0.18647265,0.17837819,1.00000000
2119.86700000,0.18636323,0.17838036,1.00000000
2120.34900000,0.18647343,0.17838253,1.00000000
2120.83100000,0.18638070,0.17838471,1.00000000
2121.31300000,0.18604184,0.17838688,1.00000000
2121.79500000,0.18627853,0.17838906,1.00000000
2122.27800000,0.18619653,0.17839124,1.00000000
2122.76000000,0.18599308,0.17839342,1.00000000
2123.24200000,0.18578802,0.17839560,1.00000000
2123.72400000,0.18589037,0.17839778,1.00000000
2124.20600000,0.18590263,0.17839996,1.00000000
2124.68800000,0.18592808,0.17840215,1.00000000
2125.17000000,0.18578016,0.17840433,1.00000000
