nu_cm1,R_obs,R_model_best,weight
399.67470000,0.00000000,0.25058100,1.00000000
400.15690000,0.31293229,0.25059711,1.00000000
400.63900000,0.30604280,0.25061707,1.00000000
401.12110000,0.29997402,0.25063752,1.00000000
401.60320000,0.29414797,0.25065846,1.00000000
402.08530000,0.28947392,0.25067989,1.00000000
402.56740000,0.28564531,0.25070182,1.00000000
403.04960000,0.28257320,0.25072426,1.00000000
403.53170000,0.28050938,0.25074720,1.00000000
404.01380000,0.27909662,0.25077066,1.00000000
404.49590000,0.27824803,0.25079464,1.00000000
404.97800000,0.27788696,0.25081915,1.00000000
405.46010000,0.27742844,0.25084418,1.00000000
405.94230000,0.27689469,0.25086976,1.00000000
406.42440000,0.27648803,0.25089587,1.00000000
406.90650000,0.27573501,0.25092253,1.00000000
407.38860000,0.27462819,0.25094974,1.00000000
407.87070000,0.27323503,0.25097751,1.00000000
408.35280000,0.27165590,0.25100583,1.00000000
408.83500000,0.26962034,0.25103473,1.00000000
409.31710000,0.26757465,0.25106419,1.00000000
409.79920000,0.26556591,0.25109423,1.00000000
410.28130000,0.26348682,0.25112485,1.00000000
410.76340000,0.26159341,0.25115606,1.00000000
411.24550000,0.25989177,0.25118786,1.00000000
411.72770000,0.25872905,0.25122026,1.00000000
412.20980000,0.25759385,0.25125325,1.00000000
412.69190000,0.25663195,0.25128685,1.00000000
413.17400000,0.25581497,0.25132106,1.00000000
413.65610000,0.25503359,0.25135588,1.00000000
414.13820000,0.25441079,0.25139133,1.00000000
414.62040000,0.25361198,0.25142740,1.00000000
415.10250000,0.25294483,0.25146410,1.00000000
415.58460000,0.25210752,0.25150143,1.00000000
416.06670000,0.25111490,0.25153940,1.00000000
416.54880000,0.25031731,0.25157801,1.00000000
417.03090000,0.24941401,0.25161728,1.00000000
417.51310000,0.24848701,0.25165721,1.00000000
417.99520000,0.24692773,0.25169781,1.00000000
418.47730000,0.24545795,0.25173908,1.00000000
418.95940000,0.24381430,0.25178104,1.00000000
419.44150000,0.24211975,0.25182369,1.00000000
