sigma_percent,theta_deg,rep,t_nls_um,success
0.50000000,10.00000000,0.00000000,10.00015764,1.00000000
0.50000000,10.00000000,1.00000000,10.00004230,1.00000000
0.50000000,10.00000000,2.00000000,10.00021067,1.00000000
0.50000000,10.00000000,3.00000000,9.99984124,1.00000000
0.50000000,10.00000000,4.00000000,9.99958998,1.00000000
0.50000000,10.00000000,5.00000000,9.99988907,1.00000000
0.50000000,10.00000000,6.00000000,9.99993418,1.00000000
0.50000000,10.00000000,7.00000000,9.99951523,1.00000000
0.50000000,10.00000000,8.00000000,9.99965506,1.00000000
0.50000000,10.00000000,9.00000000,10.00026063,1.00000000
0.50000000,10.00000000,10.00000000,10.00056219,1.00000000
0.50000000,10.00000000,11.00000000,10.00019377,1.00000000
0.50000000,10.00000000,12.00000000,10.00008856,1.00000000
0.50000000,10.00000000,13.00000000,10.00001455,1.00000000
0.50000000,10.00000000,14.00000000,9.99992958,1.00000000
0.50000000,10.00000000,15.00000000,10.00007047,1.00000000
0.50000000,10.00000000,16.00000000,10.00032898,1.00000000
0.50000000,10.00000000,17.00000000,10.00017636,1.00000000
0.50000000,10.00000000,18.00000000,10.00038935,1.00000000
0.50000000,10.00000000,19.00000000,9.99995103,1.00000000
0.50000000,10.00000000,20.00000000,9.99996744,1.00000000
0.50000000,10.00000000,21.00000000,10.00031143,1.00000000
0.50000000,10.00000000,22.00000000,9.99995042,1.00000000
0.50000000,10.00000000,23.00000000,10.00019656,1.00000000
0.50000000,10.00000000,24.00000000,10.00005601,1.00000000
0.50000000,10.00000000,25.00000000,9.99985505,1.00000000
0.50000000,10.00000000,26.00000000,9.99963522,1.00000000
0.50000000,10.00000000,27.00000000,10.00011249,1.00000000
0.50000000,10.00000000,28.00000000,9.99981821,1.00000000
0.50000000,10.00000000,29.00000000,9.99983138,1.00000000
0.50000000,10.00000000,30.00000000,10.00024607,1.00000000
0.50000000,10.00000000,31.00000000,10.00001106,1.00000000
0.50000000,10.00000000,32.00000000,10.00033070,1.00000000
0.50000000,10.00000000,33.00000000,9.99993849,1.00000000
0.50000000,10.00000000,34.00000000,10.00032161,1.00000000
0.50000000,10.00000000,35.00000000,10.00003391,1.00000000
0.50000000,10.00000000,36.00000000,9.99998201,1.00000000
0.50000000,10.00000000,37.00000000,9.99994703,1.00000000
0.50000000,10.00000000,38.00000000,10.00028724,1.00000000
0.50000000,10.00000000,39.00000000,10.00006887,1.00000000
0.50000000,10.00000000,40.00000000,9.99996137,1.00000000
0.50000000,10.00000000,41.00000000,10.00004153,1.00000000
0.50000000,10.00000000,42.00000000,9.99998468,1.00000000
0.50000000,10.00000000,43.00000000,10.00033146,1.00000000
0.50000000,10.00000000,44.00000000,9.99938656,1.00000000
0.50000000,10.00000000,45.00000000,10.00015645,1.00000000
0.50000000,10.00000000,46.00000000,9.99986726,1.00000000
0.50000000,10.00000000,47.00000000,10.00014212,1.00000000
0.50000000,10.00000000,48.00000000,9.99975200,1.00000000
0.50000000,10.00000000,49.00000000,9.99977896,1.00000000
0.50000000,10.00000000,50.00000000,10.00005511,1.00000000
0.50000000,10.00000000,51.00000000,10.00034114,1.00000000
0.50000000,10.00000000,52.00000000,10.00035978,1.00000000
0.50000000,10.00000000,53.00000000,9.99991461,1.00000000
0.50000000,10.00000000,54.00000000,9.99935331,1.00000000
0.50000000,10.00000000,55.00000000,9.99995153,1.00000000
0.50000000,10.00000000,56.00000000,9.99975857,1.00000000
0.50000000,10.00000000,57.00000000,10.00002098,1.00000000
0.50000000,10.00000000,58.00000000,10.00043759,1.00000000
0.50000000,10.00000000,59.00000000,9.99983387,1.00000000
0.50000000,10.00000000,60.00000000,9.99997317,1.00000000
0.50000000,10.00000000,61.00000000,10.00044734,1.00000000
0.50000000,10.00000000,62.00000000,10.00051573,1.00000000
0.50000000,10.00000000,63.00000000,9.99997161,1.00000000
0.50000000,10.00000000,64.00000000,10.00018221,1.00000000
0.50000000,10.00000000,65.00000000,9.99962632,1.00000000
0.50000000,10.00000000,66.00000000,9.99984420,1.00000000
0.50000000,10.00000000,67.00000000,9.99972788,1.00000000
0.50000000,10.00000000,68.00000000,9.99990483,1.00000000
0.50000000,10.00000000,69.00000000,9.99963240,1.00000000
0.50000000,10.00000000,70.00000000,10.00008345,1.00000000
0.50000000,10.00000000,71.00000000,9.99976640,1.00000000
0.50000000,10.00000000,72.00000000,9.99992246,1.00000000
0.50000000,10.00000000,73.00000000,10.00009226,1.00000000
0.50000000,10.00000000,74.00000000,9.99971571,1.00000000
0.50000000,10.00000000,75.00000000,10.00005766,1.00000000
0.50000000,10.00000000,76.00000000,10.00014015,1.00000000
0.50000000,10.00000000,77.00000000,9.99991021,1.00000000
0.50000000,10.00000000,78.00000000,10.00003992,1.00000000
0.50000000,10.00000000,79.00000000,10.00011053,1.00000000
0.50000000,10.00000000,80.00000000,10.00028298,1.00000000
0.50000000,10.00000000,81.00000000,10.00010344,1.00000000
0.50000000,10.00000000,82.00000000,9.99956065,1.00000000
0.50000000,10.00000000,83.00000000,10.00023626,1.00000000
0.50000000,10.00000000,84.00000000,10.00019868,1.00000000
0.50000000,10.00000000,85.00000000,9.99990684,1.00000000
0.50000000,10.00000000,86.00000000,9.99993319,1.00000000
0.50000000,10.00000000,87.00000000,10.00032499,1.00000000
0.50000000,10.00000000,88.00000000,9.99970970,1.00000000
0.50000000,10.00000000,89.00000000,10.00009584,1.00000000
0.50000000,10.00000000,90.00000000,9.99997413,1.00000000
0.50000000,10.00000000,91.00000000,9.99977145,1.00000000
0.50000000,10.00000000,92.00000000,9.99980376,1.00000000
0.50000000,10.00000000,93.00000000,10.00017828,1.00000000
0.50000000,10.00000000,94.00000000,10.00014536,1.00000000
0.50000000,10.00000000,95.00000000,9.99964345,1.00000000
0.50000000,10.00000000,96.00000000,9.99983215,1.00000000
0.50000000,10.00000000,97.00000000,10.00031467,1.00000000
0.50000000,10.00000000,98.00000000,9.99974535,1.00000000
0.50000000,10.00000000,99.00000000,9.99974013,1.00000000
0.50000000,15.00000000,0.00000000,9.99947126,1.00000000
0.50000000,15.00000000,1.00000000,9.99989987,1.00000000
0.50000000,15.00000000,2.00000000,10.00005160,1.00000000
0.50000000,15.00000000,3.00000000,9.99992721,1.00000000
0.50000000,15.00000000,4.00000000,9.99978417,1.00000000
0.50000000,15.00000000,5.00000000,10.00031806,1.00000000
0.50000000,15.00000000,6.00000000,10.00029676,1.00000000
0.50000000,15.00000000,7.00000000,9.99964285,1.00000000
0.50000000,15.00000000,8.00000000,10.00029674,1.00000000
0.50000000,15.00000000,9.00000000,10.00024598,1.00000000
0.50000000,15.00000000,10.00000000,10.00033868,1.00000000
0.50000000,15.00000000,11.00000000,10.00005236,1.00000000
0.50000000,15.00000000,12.00000000,9.99972525,1.00000000
0.50000000,15.00000000,13.00000000,10.00024777,1.00000000
0.50000000,15.00000000,14.00000000,9.99965482,1.00000000
0.50000000,15.00000000,15.00000000,9.99986340,1.00000000
0.50000000,15.00000000,16.00000000,10.00036717,1.00000000
0.50000000,15.00000000,17.00000000,9.99972873,1.00000000
0.50000000,15.00000000,18.00000000,9.99982520,1.00000000
0.50000000,15.00000000,19.00000000,9.99988543,1.00000000
0.50000000,15.00000000,20.00000000,10.00029596,1.00000000
0.50000000,15.00000000,21.00000000,9.99998531,1.00000000
0.50000000,15.00000000,22.00000000,10.00008264,1.00000000
0.50000000,15.00000000,23.00000000,10.00079386,1.00000000
0.50000000,15.00000000,24.00000000,9.99999421,1.00000000
0.50000000,15.00000000,25.00000000,9.99946835,1.00000000
0.50000000,15.00000000,26.00000000,9.99990453,1.00000000
0.50000000,15.00000000,27.00000000,10.00062511,1.00000000
0.50000000,15.00000000,28.00000000,10.00002113,1.00000000
0.50000000,15.00000000,29.00000000,9.99963739,1.00000000
0.50000000,15.00000000,30.00000000,9.99988436,1.00000000
